id1,text,label
1,Japanese towns cancel plans to host Olympic athletes amid Covid-19 surge: ,0
2,Mangalore Millionaire Mom Exposes ?9.37 Lakhs from Home,0
3,Autopsy to confirm lightning as cause of death of 18 elephants,0
4,3 prisoners killed in shooting at UP jail,0
5,"Price rise continues, petrol up by  1.94/lt",0
6,80 people died on Shramik trains in 19 days,0
7,Earthquake hits Delhi for the fifth time in 2 months,0
8,"PAK LIFTS BAN, TO IMPORT COTTON, SUGAR FROM INDIA",0
9,"India bounced back quick, growth in FY22 to be 7.5-12.5%: World Bank",0
10,Rival parties lash UP Govt; call it anti-farmer,0
11,Indian Air Force?adds three more Rafale jets to its fleet,0
12,2.2 million sign up for shots as key leg of vaccine drive kicks off,0
13,UP govt dominated by criminals: Punia,0
14,Urban joblessness climbs 7.24% in Mar,0
15,Rampant exploitation of traders in the state,0
16,"India Covid curve beats US, set to surpass Brazil",0
17,Rural jobs scheme generated record 3.9bn days of work,0
18,"DAILY CASES CROSS 4K MARK IN DELHI; POSITIVITY RATE, DEATHS RISE",0
19,US TO RESTRICT TRAVEL FROM INDIA FROM MAY 4: WHITE HOUSE,0
20,New cases cross 400k,0
21,45 dead in stampede at Israel religious festival,0
22,DELHI LOCKDOWN EXTENDED BY A WEEK TILL MAY 10,0
23,'Nayak' screened on first day of film festival,0
24,Biomass-based plant (em)powering villagers,0
25,GST collection in April hits record ?1.41 lakh cr,0
26,Cong supports Karnataka Governor Bharadwaj,0
27,Government rejects fee hike for IITs,0
28,POONAWALLA TALKS OF THREAT FROM POWERFUL TO DELIVER JABS,0
29,Lawyers boycott work; demand action against guilty,0
30,Hospitals sound alarm again with oxygen perilously short,0
31,BJP wins a second term with a comfortable margin in Assame,0
32,Puducherry: AINRC-led alliance defeats Cong,0
33,Vijayan bucks four-decade-old trend by retaining power,0
34,Vaccination of 18-44 year olds takes off in Capital,0
35,India Covid cases cross another painful milestone at 20 million,0
36,24 patients die in Karnataka facility as oxygen supply falls short,0
37,PM house in new Vista given green clearance,0
38,Trains to bring city 205MT of O2 today,0
39,ICMR SAYS USE RAPID ANTIGEN TESTS TO BOOST COVID-19 TESTING,0
40,"PETROL PRICE UP 25P/LTR, DIESEL UP 18P/LTR IN 1ST HIKE IN 2 MNTHS",0
41,"Free rations for card holders, aid for taxi, auto drivers in Delhi",0
42,Kangana’s Twitter account bannedt,0
43,"Bill, Melinda Gates to divorce after 27 years of marriage",0
44,Duminy's defiant knock leaves India with a 266-run target,0
45,Former Union minister Jagmohan dies aged 93,0
46,"RBI relief to small borrowers, loans to vaccine makers",0
47,Bengal suspends local train services,0
48,Delhi not getting enough vaccine doses: Kejriwal,0
49,"FORMER MINISTER, EMINENT FARMER LEADER AJIT SINGH DIES OF COVID-19",0
50,Can add 9k beds if O2 quota is met: Kejriwal,0
51,Jeep owner murdered in J'khand,0
52,Second wave spreading much faster in rural India than first,0
53,Bailed from jail; prisoner found dead in forest,0
54,Kashmir sapphire to be sold in auction,0
55,Australia to revoke India travel ban for citizens,0
56,PRIORITISE JABS FOR THOSE TAKING 2ND DOSE: CENTRE,0
57,10 KILLED WHILE UNLOADING DETONATORS AT ANDHRA QUARRY,0
58,18 affected due to ammonia gas leak in Karjan,0
59,Need 26 million more doses for Delhi: Kejriwal,0
60,GOVT POSTPONES JEE (MAIN) AS COVID CASES SPIKE,0
61,MSU's commerce faculty to introduce semester system,0
62,IIP GROWS 22.4% IN MARCH; RETAIL INFLATION AT 4.29% IN APRIL,0
63,Allow more pharma firms to make vaccines:?CM ,0
64,"CHHOTA RAJAN RECOVERS FROM COVID-19, BACK IN TIHAR JAIL",0
65,"OUT OF COVAXIN, 125 JAB CENTRES FOR 18-44 AGE GROUP TO BE SHUT",0
66,Architect of land reforms in Kerala dies aged 102,0
67,"80 bodies found in Ganga in UP, Bihar",0
68,26 Covid deaths in Goa spark concerns of oxygen shortage,0
69,Delhi HC to hear plea seeking to halt Vista construction,0
70,3 Indian warships arrive with Covid aid,0
71,Thousands gather for cleric’s funeral in Badaun,0
72,Odisha to float global tender for vaccines,0
73,43-member cabinet takes oath in 3rd Mamata govt,0
74,"HARYANA EXTENDS LOCKDOWN TILL MAY 17, OFFICIALS TO FOCUS ON COVID HOT SPOTS",0
75,Positivity rate in Delhi continues downward trajectory for 11th day,0
76,Sarma to take over as next Assam CM,0
77,23 Covid-19 patients missing,0
78,Eight Oxygen plants added in city govt hospitals in two weeks,0
79,Delhi given large part of foreign aid:,0
80,Kangana Ranaut tests Covid +ve,0
81,"EnvironmentalistBahuguna tests +ve, hospitalised",0
82,PAU students continue agitation,0
83,Serum reduces price for states to ?300 per dose,0
84,Govt school lecturers negligent: monitoring team report,0
85,"Zomato cashes in on demand for online food orders, files $1.1bn IPO",0
86,PFIZER ORAL COVID DRUG COULD BE READY NEXT YEAR,0
87,"Delhi sets up quarantine centres for unattended, rescued children in city",0
88,usa CDC eases mask use for those vaccinated,0
89,GGM TO STOP VACCINATIONS FOR 18-44 AGE GROUp  AS DOSES RUN OUT,0
90,Maha govt extends lockdown till June 1,0
91,UPSC preliminary exam postponed till October,0
92,"COVID HAS RIGHT TO LIVE TOO, SAYS EX-uttarKHAND CM",0
93,"India may get over 2bn shots by Dec, Sputnik jabs to start next week: ",0
94,BODIES FLOATING IN GANGA: NHRC ISSUES NOTICES,0
95,2nd Covishield jab after 12-16 weeks: Govt,0
96,Covid test centre set up at Hansraj College,0
97,Hundreds of bodies buried along Ganga,0
98,"KERALA RECORDS 43,000 CASES, 30% POSITIVITY RATE",0
99,Covaxin gets nod to begin trials for ages as young as 2,0
100,At least 53 people were killed in communal riots in parts of Delhi.,0
101,"U.S. President Donald Trump visited India for a two-day state visit, addressed a ""Namaste (Welcome) Trump"" event with Prime Minister Narendra Modi in Ahmedabad",0
102,"Kamal Nath resigned from the post of the Chief Minister of Madhya Pradesh, after a political crisis. ",0
103,Janata Curfew: India observed a 14-hour lockdown to prevent the spread of the COVID-19 pandemic. ,0
104,Shivraj Singh Chouhan took oath as the Chief Minister of Madhya Pradesh. ,0
105,Maoist attack in Sukma kills 17 paramilitary personnel,0
106,Skirmishes began between India and China. Several Indian and Chinese soldiers are injured in a cross-border clash at the Nathu La crossing. About one hundred and fifty soldiers were involved in the face-off which included fistfights and stone-throwing,0
107,2020 Palghar mob lynching.,0
108,"An FIR was registered against an unknown person in Gujarat for placing an online advertisement to ""sell"" the Statue of Unity for ?30,000 crore",0
109,"Wanted terrorist Riyaz Naikoo of the terror group Hizb-ul-Mujahideen, killed in a gun battle with Indian security forces.",0
110,"13 people were killed from a gas leak at a chemical plant in Visakhapatnam, Andhra Pradesh.",0
111,Cyclone Amphan hit the eastern part of India and lead to flood like situation in many South-eastern states. ,0
112,"A petroleum gas and oil leak occurred in Indian Oil's Baghjan Oilfield, in Assam",0
113,A pregnant elephant died after eating a pineapple filled with firecrackers.s,0
114,"Cyclone Nisarga hit the western coast of India, causing damage in the state of Maharashtra.",0
115,Bollywood Star Sushant Singh Rajput found dead at his Bandra Residence in Mumbai.,0
116,"Indian Government bans 59 Chinese apps including TikTok, CamScanner, SHAREit and UC Browser due to the ongoing Sino-Indian Border tensions.",0
117,"8 Policemen of the Uttar Pradesh police are martyred in an encounter with the gang of the wanted criminal Vikas Dubey in Kanpur, Uttar Pradesh state. ",0
118,Prime Minister Narendra Modi makes a visit to Nimu Post near the Indo-China border in Ladakh along with Army Chief Manoj Mukund Naravane and CDS Bipin Rawat amid ongoing India-China border tensions.,0
119,Earthquake of magnitude 4.7 on Richter scale hits Kargill in Ladakh.,0
120,Wanted Criminal Vikas Dubey encountered.,0
121,3 killed and many arrested following the riots in Bangalore over a controversial Facebook post on Islam's prophet Muhammad by a nephew of Congress politician,0
122,Narendra Modi performed Bhoomi Pujan and laid the foundation stone of the Ram Temple at Ayodhya.,0
123,"Air India Express Flight 1344 Crashed after overrunning the Runway at Calicut International Airport, Kerala. At least 19 people killed, including two pilots and 17 Passengers. ",0
124,Christians call verdict satisfactory,0
125,"Heavy Landslide in Munnar, Idukki District, Kerala: 24 killed, 40 trapped; NDRF teams carry out rescue ops.",0
126,"nion Minister for Road Transport and Highways and Micro, Small and Medium Enterprises Nitin Gadkari, has unveiled a microwave device that can disinfect premises in just 30 seconds named ‘Atulya’",0
127,MS Dhoni announced his retirement from international cricket,0
128,A major fire broke out in an underground hydroelectric power plant in Srisailam in the state of Telangana killing 9 people.,0
129,"National Statistical Office releases data for the first quarter of Financial Year 2020–2021, with GDP in the given period contracting by 23.9% due to the COVID-19 pandemic lockdown in India.",0
130,118 Chinese apps including PUBG Video Game app banned.,0
131,Retired Navy officer Madan Sharma beaten up for forwarding cartoon on Uddhav Thackeray; four arrested. ,0
132,Three Bills on agriculture reforms introduced in the Parliament to replace the ordinances issued during the lockdown on June 5. ,0
133,Goa declared first 'Har Ghar Jal' State by the Jal Shakti Ministry.,0
134,"The court acquitted all the 32 accused of the Demolition of the Babri Masjid including L. K. Advani, Murli Manohar Joshi, Uma Bharti, Vinay Katiyar and several others in the case on account of inconclusive evidence. The special court judge said ""“The demolition was not pre-planned",0
135,Uttar Pradesh Chief Minister Yogi Adityanath announced that a law to curb 'Love Jihad' would be passed by his government.,0
136,Car catches fire near Mahuva; 19-year-old woman dies,0
137,Fire breaks out at Green Chowk Tower,0
138, Madhya Pradesh government approved an anti conversion bill similar to the Uttar Pradesh one.,0
139,Fresh tremors in Saurashtra; Kutch,0
140,The Assam government passed a law converting its 700 state-run Islamic schools into regular schools.,0
141, Polling for the Delhi Legislative Assembly elections was held. ,0
142,2020 Delhi Legislative Assembly election's results announced with Aam Aadmi Party securing 62 of 70 seats to claim an absolute majority in the elections,0
143,Prime Minister Modi announced a 21-day lockdown throughout India from midnight of 25 March to 14 April to prevent the spread of COVID-19. ,0
144,"Sudden spike in COVID-19 cases, with hundreds of cases linked with people who attended Tablighi Jamaat event in Delhi",0
145,Prime Minister Modi announced a 21-day lockdown throughout India from midnight of 25 March to 14 April to prevent the spread of COVID-19,0
146,"Sudden spike in COVID-19 cases, with hundreds of cases linked with people who attended Tablighi Jamaat event in Delhi",0
147,Seven IITs have announced plans to boycott the Times Higher Education World University Rankings this year ,0
148,Cyclone Amphan hit the eastern part of India and lead to flood like situation in many South-eastern states.,0
149,"Cyclone Nisarga hit the western coast of India, causing damage in the state of Maharashtra.",0
150,"The President of India promulgates three ordinances related to agriculture, which would be later proposed as a bill and consequently passed as an act.",0
151,"20 personnel of the Indian army including a commanding officer, are killed in action in the ongoing Skirmishes between India and China at LAC in the Galwan Valley of Ladakh",0
152,ndia wins a two-year seat on the United Nations Security Council to begin 1 January 2021 during the 2020 Security Council Elections.,0
153,Indian Railways suspends all passenger train service (except Rajdhani and Migrant Special Trains) until 12 August 2020.,0
154,Transmitters to study migratory behaviour of Pong birds,0
155,Number of confirmed cases of COVID-19 reach 1 million.,0
156,ongoing – Floods in Brahmaputra River in the state of Assam.,0
157," National Education Policy 2020 (NEP 2020), a new policy on education in India approved by the Union Cabinet. ",0
158,"2020 Punjab alcohol poisoning. At least 121 people died after drinking toxic, illegally-made alcohol in Punjab.",0
159,Activists welcome HC's talk on DERC,0
